
===== 2026-04-08T19:17:28-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775690250.474974035] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775690250.594588301] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, log_object_pose_debug=False, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775690250.596800293] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(-0.228, 0.004), z_offset=0.000, yaw_deg=4.00, xy_scale=1.3370, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775690377.612813669] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690379.608846848] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690379.618113739] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690382.098746489] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690382.110236359] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690384.598535560] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690384.601101945] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690386.606018028] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690386.612199410] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690388.606724662] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690388.612854216] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690391.097659400] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690391.099093017] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690393.100826695] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690393.117817487] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690395.605701687] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690395.609965465] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690397.600712999] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690397.630476534] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690400.100728739] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690400.109361520] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690401.250881525] [scene_from_vision_node]: Scene LOCKED - updates paused.
